,y_true,predicted,lower,upper
0,-0.2177145,-0.17620245,-0.57097775,0.21857285
1,-0.13873692,-0.17029098,-0.56983757,0.22925559
2,0.59079164,0.95427525,0.068271995,1.8402785
3,2.1584222,1.9058,1.4352732,2.3763268
4,1.7164472,1.534776,1.140501,1.9290509
5,0.727939,0.6366798,0.2785915,0.99476814
6,-0.009226487,-0.14961931,-0.505257,0.20601842
7,-0.62622535,-0.50858575,-0.830176,-0.18699554
8,-0.9816288,-0.83852875,-1.2785414,-0.3985161
9,-1.2286859,-1.1167717,-1.7002758,-0.5332676
10,-1.3410722,-1.2003261,-2.6647825,0.26413023
11,-1.2428306,-1.1529143,-2.5971303,0.29130185
12,-1.0701276,-1.0743693,-2.679677,0.5309385
13,-0.9171218,-0.9986815,-2.989485,0.9921221
14,-0.82964617,-0.92846507,-3.0014853,1.1445551
15,-0.54444724,-0.30999792,-1.9343129,1.3143171
16,0.67534447,1.1943848,-0.38324523,2.7720149
17,2.4389906,2.492218,0.819173,4.165263
18,2.303906,2.142715,0.6211221,3.6643078
19,0.6063579,1.0420145,-0.5792334,2.6632624
20,0.043022297,0.0049936175,-1.6285126,1.6384997
21,0.058614314,0.06770167,-1.3359839,1.4713873
22,0.121418834,0.2059631,-1.3526086,1.7645348
23,0.14232162,-0.014247566,-1.5660745,1.5375794
24,-0.36822078,-0.24477565,-1.8466609,1.3571095
25,-0.30805635,-0.22343081,-1.8924758,1.4456141
26,0.5305687,0.7246295,-0.8647013,2.3139603
27,2.0709798,1.8024515,0.19863558,3.4062674
28,1.8400393,1.4819194,-0.14046395,3.104303
29,0.9388541,0.5669389,-0.9176295,2.0515072
30,0.12325771,-0.18935473,-1.8115795,1.4328699
31,-0.4301341,-0.62535316,-2.20291,0.9522037
32,-1.010811,-0.919733,-2.1941578,0.35469192
33,-1.2395533,-1.1600682,-3.717454,1.3973178
34,-1.3328006,-1.2297652,-2.9693499,0.5098196
35,-1.2653654,-1.171514,-2.4652033,0.1221751
36,-1.0844157,-1.0699086,-2.3204632,0.18064594
37,-0.9346794,-0.95799,-2.4669943,0.55101424
38,-0.8163161,-0.9024938,-2.2651732,0.4601857
39,-0.57579654,-0.53039265,-1.8203847,0.75959945
40,0.4778132,1.234725,-0.0041645765,2.4736147
41,2.4270513,2.4553404,1.2446644,3.6660163
42,2.2718124,1.9940506,0.88336635,3.104735
43,0.69052935,0.7173563,-0.33720732,1.77192
44,0.022235086,0.053574145,-1.0689955,1.1761436
45,0.16062748,0.088457584,-1.0169853,1.1939005
46,0.12681693,0.18050817,-0.84238124,1.2033975
47,0.021299947,0.03821966,-1.0798774,1.1563168
48,-0.29700786,-0.21198675,-1.3988104,0.9748368
49,-0.35846245,-0.26610848,-1.5444441,1.012227
50,0.46531543,0.6923862,-0.4992681,1.8840406
51,2.074487,1.8448285,0.7357441,2.9539127
52,1.8358641,1.3954915,0.245013,2.54597
53,0.8526653,0.5607962,-0.4927984,1.6143909
54,0.1365412,-0.12843594,-1.3840971,1.1272252
55,-0.53825814,-0.5605334,-1.751814,0.6307472
56,-0.87261826,-0.93641806,-2.0806584,0.20782232
57,-1.2049063,-1.1824229,-2.933453,0.56860733
58,-1.3273994,-1.1770189,-3.0719478,0.71791005
59,-1.2886642,-1.1700008,-3.0373955,0.697394
60,-1.1229221,-1.1609559,-2.955584,0.6336721
61,-0.9824499,-1.0979556,-2.734284,0.53837276
62,-0.8948592,-0.92526764,-2.8082843,0.95774895
63,-0.66917694,-0.52376235,-2.476256,1.4287312
64,-0.4787861,1.3412287,-0.5797707,3.262228
65,0.66709596,2.3689537,0.47629702,4.2616105
66,0.99532825,1.75028,-0.08003414,3.580594
67,2.1755612,0.8577038,-1.0173013,2.732709
68,1.4127587,0.28857517,-1.6680881,2.2452383
69,1.5891093,0.3021443,-1.5558819,2.1601706
70,1.6701344,0.40932,-1.8245496,2.6431894
71,1.1751354,0.2025854,-2.040166,2.4453368
72,1.1153193,0.026819766,-2.3042414,2.3578808
73,1.0888109,0.14884079,-2.1214023,2.4190836
74,1.993959,0.8482133,-1.3487228,3.0451493
75,2.393241,1.5391381,-0.5338242,3.6121004
76,1.4702163,0.89241445,-0.9505911,2.73542
77,0.5181148,-0.11140773,-2.0986621,1.8758467
78,-0.3021514,-0.8521429,-3.0352437,1.3309581
