,y_true,predicted,lower,upper
0,-0.2177145,-0.0829609,-0.22490889,0.05898708
1,-0.13873692,-0.1701167,-0.39306402,0.05283062
2,0.59079164,0.45599973,0.2273506,0.6846489
3,2.1584222,1.8013645,1.5505913,2.0521379
4,1.7164472,1.7513942,1.4971614,2.005627
5,0.727939,0.6921643,0.49642748,0.8879011
6,-0.009226487,-0.06666374,-0.31452215,0.18119466
7,-0.62622535,-0.6526162,-0.89642847,-0.40880394
8,-0.9816288,-0.9415773,-1.1559455,-0.7272091
9,-1.2286859,-1.1925987,-1.3890505,-0.9961469
10,-1.3410722,-1.3013589,-1.7650503,-0.8376676
11,-1.2428306,-1.2922019,-1.7186255,-0.86577827
12,-1.0701276,-1.1260935,-1.59366,-0.658527
13,-0.9171218,-0.99375427,-1.3658464,-0.62166214
14,-0.82964617,-0.92230284,-1.3612543,-0.48335132
15,-0.54444724,-0.48318443,-0.86303335,-0.1033355
16,0.67534447,0.85846186,0.4294296,1.2874942
17,2.4389906,2.33679,2.0895133,2.5840669
18,2.303906,2.2515025,2.0302038,2.4728012
19,0.6063579,0.66674817,0.42591512,0.9075812
20,0.043022297,0.035798848,-0.15362911,0.2252268
21,0.058614314,0.13392478,-0.08329837,0.35114795
22,0.121418834,0.26449513,0.020819798,0.5081705
23,0.14232162,0.17411178,-0.019173592,0.36739716
24,-0.36822078,-0.10385555,-0.27846098,0.070749894
25,-0.30805635,-0.16223952,-0.38054,0.05606097
26,0.5305687,0.5450369,0.2775978,0.81247604
27,2.0709798,1.893525,1.6278318,2.1592183
28,1.8400393,1.7047764,1.43504,1.9745128
29,0.9388541,0.6299101,0.4065995,0.8532207
30,0.12325771,-0.087438524,-0.36456555,0.1896885
31,-0.4301341,-0.65052104,-0.9087623,-0.3922798
32,-1.010811,-0.93874013,-1.189403,-0.6880772
33,-1.2395533,-1.1928668,-1.4101075,-0.9756261
34,-1.3328006,-1.2470269,-1.7114766,-0.7825773
35,-1.2653654,-1.2896011,-1.6539624,-0.92523986
36,-1.0844157,-1.1644549,-1.623807,-0.7051029
37,-0.9346794,-0.99765253,-1.3631322,-0.6321728
38,-0.8163161,-0.98172164,-1.3822075,-0.58123577
39,-0.57579654,-0.4854039,-0.880802,-0.090005815
40,0.4778132,0.87134564,0.42775187,1.3149394
41,2.4270513,2.333634,2.0475094,2.6197584
42,2.2718124,2.2416797,1.9844189,2.4989405
43,0.69052935,0.6252426,0.3544476,0.8960376
44,0.022235086,0.01853019,-0.193629,0.23068938
45,0.16062748,0.13546056,-0.09849903,0.36942014
46,0.12681693,0.25523627,0.0013112426,0.5091613
47,0.021299947,0.15281248,-0.040931225,0.3465562
48,-0.29700786,-0.11693913,-0.31028372,0.07640545
49,-0.35846245,-0.15536335,-0.3965565,0.085829794
50,0.46531543,0.6050508,0.3203397,0.8897619
51,2.074487,1.9548265,1.7010517,2.2086012
52,1.8358641,1.6534995,1.3527975,1.9542015
53,0.8526653,0.588114,0.33870983,0.8375182
54,0.1365412,-0.12531406,-0.42160383,0.17097571
55,-0.53825814,-0.6523041,-0.9272789,-0.37732935
56,-0.87261826,-0.94292283,-1.2328353,-0.65301037
57,-1.2049063,-1.1885972,-1.4615844,-0.91560996
58,-1.3273994,-1.2263538,-1.6909143,-0.76179326
59,-1.2886642,-1.301306,-1.735625,-0.86698705
60,-1.1229221,-1.2018521,-1.6841356,-0.7195686
61,-0.9824499,-1.0533324,-1.4445503,-0.6621146
62,-0.8948592,-1.0143397,-1.376053,-0.6526264
63,-0.66917694,-0.40580037,-0.840049,0.028448313
64,-0.4787861,0.9618993,0.49424717,1.4295514
65,0.66709596,2.3695455,2.0708642,2.6682267
66,0.99532825,2.21806,1.9173739,2.5187461
67,2.1755612,0.5928576,0.27689472,0.9088205
68,1.4127587,-0.0037696362,-0.26714113,0.25960186
69,1.5891093,0.12314582,-0.14596051,0.39225215
70,1.6701344,0.22926718,-0.030901968,0.48943633
71,1.1751354,0.105465055,-0.108720735,0.31965083
72,1.1153193,-0.14413768,-0.41063368,0.12235832
73,1.0888109,-0.14991695,-0.39888102,0.099047124
74,1.993959,0.6864971,0.38581416,0.98718
75,2.393241,1.990616,1.7192967,2.2619352
76,1.4702163,1.5841838,1.2439334,1.9244342
77,0.5181148,0.5235975,0.25323248,0.7939625
